CD_CARGO,SQ_CANDIDATO,NR_IDADE_DATA_POSSE_x,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_COR_RACA,CD_OCUPACAO,ST_REELEICAO_x,VR_BEM_CANDIDATO_x,QT_VOTOS_NOMINAIS_x,DS_SIT_TOT_TURNO
7,250001620658,45.0,2,8,1,1,297,0,380095.0,3164,0
7,250001699839,46.0,2,6,1,3,923,0,7000.0,264,0
7,250001737624,57.0,4,6,1,2,999,0,750000.0,777,0
6,130001634132,38.0,2,5,1,2,512,0,250000.0,115,0
6,270001700071,36.0,4,8,3,2,102,0,745000.0,1073,0
7,150001621591,45.0,4,8,1,1,124,0,160000.0,44,0
7,170001608981,48.0,2,8,3,3,395,0,386156.21,15401,0
7,200001604171,45.0,2,8,3,3,298,0,60000.0,1705,0
7,60001603538,39.0,2,8,1,1,257,0,500000.0,37673,0
6,80001723275,51.0,2,8,3,3,296,0,525000.0,11054,0
6,90001715434,42.0,2,8,3,1,232,0,2281220.31,5337,0
6,250001597698,52.0,2,8,3,1,257,0,704031.76,3728,0
7,160001622194,52.0,2,6,9,1,151,0,180000.0,112,0
7,160001615026,48.0,2,6,3,1,257,0,3280000.0,1098,0
6,210001649223,48.0,2,4,3,1,512,0,30000.0,3825,0
6,160001614461,48.0,4,8,7,2,257,0,30000.0,580,0
7,260001711844,39.0,2,7,3,3,999,0,180000.0,421,0
6,80001611836,46.0,2,8,3,2,999,0,150000.0,2828,0
6,250001611221,60.0,4,5,3,2,125,0,64.46000000000001,696,0
7,250001611758,61.0,2,8,9,2,297,0,987034.97,108726,1
6,100001599607,54.0,4,8,1,3,257,0,320000.0,306,0
7,130001634042,44.0,2,8,3,1,143,0,265800.0,2042,0
7,50001606406,41.0,2,8,1,3,131,1,3199077.99,68043,1
6,270001676170,47.0,4,8,3,1,297,0,160000.0,1927,0
7,50001610363,60.0,2,8,1,3,999,0,540000.0,592,0
7,250001642210,42.0,4,7,3,1,931,0,39300.0,215,0
7,240001645371,23.0,2,6,1,1,194,0,5000.0,760,0
6,20001698523,56.0,2,8,1,3,999,0,90000.0,2934,0
6,60001645989,43.0,4,8,3,1,193,0,44000.0,144,0
6,90001621640,56.0,2,8,3,1,278,0,2758000.0,50,0
6,130001610908,66.0,2,4,3,3,921,0,1020000.0,133,0
7,260001733260,49.0,4,8,9,3,125,0,258072.0,465,0
6,70001654171,40.0,2,8,3,1,233,0,400000.0,274,0
7,260001646918,33.0,4,8,1,3,257,0,205087.0,3002,0
7,170001608975,62.0,2,7,3,1,125,0,712000.0,11365,0
7,130001613127,44.0,4,8,3,1,999,0,45501.0,668,0
6,60001614153,70.0,4,8,9,1,114,0,550000.0,36507,0
6,170001609037,39.0,4,8,3,1,999,0,677206.27,6401,0
7,60001608942,42.0,4,8,1,3,298,0,38000.0,630,0
6,60001712965,56.0,2,4,3,3,169,0,80000.0,281,0
7,40001612918,38.0,2,8,1,3,101,0,840000.0,454,0
7,30001721025,53.0,2,8,3,3,265,0,96000.0,1981,0
7,210001601634,40.0,2,6,3,1,537,0,450000.0,1915,0
7,240001605923,38.0,4,8,9,1,230,0,40000.0,2943,0
6,250001622074,69.0,2,8,3,1,111,0,1411000.0,2242,0
6,230001604291,37.0,4,2,1,1,257,0,566500.0,11,0
6,190001644828,39.0,2,7,3,1,171,0,49113.58,17347,0
7,210001610603,43.0,2,8,3,1,131,0,459556.54,34532,0
7,90001653821,60.0,2,7,3,1,277,0,463095.17,37638,1
6,250001611307,45.0,2,8,3,1,277,0,7109907.75,46974,0
6,130001606180,36.0,2,6,3,1,257,0,85418.51999999999,11980,0
7,160001621900,39.0,2,8,1,1,111,0,1476383.8,319,0
7,120001609600,41.0,4,8,1,2,113,0,183063.04,642,0
7,250001602124,32.0,2,8,1,1,999,0,62828.59,24818,0
7,190001649584,44.0,4,8,1,1,298,0,302674.0,649,0
7,10001635530,42.0,2,7,9,3,233,0,8000.0,73,0
6,240001614314,34.0,2,6,1,1,257,0,10000.0,148,0
6,60001619124,65.0,2,8,1,1,277,1,859434.29,186136,1
7,90001611914,58.0,4,6,3,3,999,0,68000.0,568,0
6,250001677865,64.0,2,8,3,1,257,0,100000.0,162,0
7,190001620517,42.0,2,7,3,3,169,0,1000000.0,661,0
6,230001611097,70.0,2,8,5,1,131,0,135000.0,27,0
7,130001615643,45.0,2,3,3,1,257,0,102476.54,2970,0
6,150001621684,64.0,2,8,3,3,277,0,1219099.82,63777,0
7,120001614724,34.0,2,8,3,1,277,1,500281.62,26522,1
6,20001697455,60.0,2,8,3,1,297,0,181394.0,1021,0
7,240001647340,58.0,2,6,1,1,257,0,300000.0,568,0
7,250001721354,59.0,2,4,3,1,999,0,20000.0,300,0
7,140001676906,42.0,4,8,3,1,233,0,300000.0,798,0
7,250001619315,48.0,2,8,1,1,296,0,646080.51,2744,0
6,250001610650,29.0,2,8,3,1,257,0,26174.42,17251,0
6,210001648573,58.0,2,8,3,1,296,0,2502000.0,4028,0
7,50001620952,23.0,2,7,1,1,298,0,188500.0,3886,0
7,50001614676,54.0,2,7,1,3,257,0,926000.0,2357,0
7,230001611123,44.0,2,6,1,5,999,0,10000.0,127,0
6,130001668901,54.0,2,8,1,2,131,0,16370.74,853,0
7,200001608776,50.0,2,3,1,2,531,0,98000.0,321,0
8,70001729188,63.0,2,8,3,3,266,0,690000.0,2581,0
7,60001633798,41.0,2,8,1,3,278,0,213900.0,4727,0
7,250001614933,54.0,2,8,3,2,999,0,630000.0,1731,0
7,20001652532,53.0,2,8,3,3,257,0,5656148.65,3001,0
6,260001619666,48.0,2,8,3,1,277,1,1730000.0,6777,0
7,210001610607,66.0,2,8,3,1,277,1,610500.0,28884,0
6,170001613283,57.0,2,8,1,1,266,0,68000.0,42653,0
7,190001609834,54.0,2,4,3,2,999,0,85624.0,447,0
6,130001613361,55.0,2,7,1,2,257,0,70700.0,1541,0
7,130001607700,54.0,2,7,3,1,278,0,271097.43,2317,0
6,130001603590,39.0,2,5,1,1,278,0,1009000.0,2346,0
7,20001652076,62.0,2,5,3,1,923,0,110000.0,4155,0
7,190001613866,59.0,2,6,1,1,190,0,250000.0,738,0
7,190001603223,44.0,2,8,3,1,131,1,257725.61,47225,1
7,90001614652,53.0,2,8,9,1,169,0,265000.0,3293,0
7,10001643431,59.0,2,8,5,1,266,0,19946.0,679,0
7,110001620554,36.0,2,8,1,3,278,0,348883.74,4620,0
7,190001601354,43.0,2,8,3,3,131,0,139000.0,8654,0
6,10001642337,60.0,2,8,9,3,257,0,40000.0,353,0
7,170001619685,60.0,2,8,3,1,277,1,2461864.82,146847,1
7,160001622707,51.0,2,8,3,1,143,0,360000.0,116,0
6,40001618394,54.0,4,8,3,1,131,0,330000.0,911,0
6,10001621643,56.0,4,8,3,1,266,0,400000.0,25842,1
6,50001600769,66.0,2,7,1,1,292,0,144185.95,457,0
6,80001722145,51.0,2,6,1,1,169,0,15000.0,302,0
7,80001604483,81.0,4,8,1,3,131,0,1074293.51,3478,0
7,190001609563,45.0,2,6,3,1,278,0,619443.97,29644,0
6,270001672964,30.0,2,8,1,3,257,0,242000.0,2261,0
6,160001716182,43.0,2,7,3,1,156,0,15000.0,191,0
7,130001669337,67.0,2,8,3,3,101,0,355000.0,224,0
6,250001604979,61.0,2,8,3,1,121,0,1668306.48,35440,0
6,250001597693,31.0,2,8,1,1,257,0,640000.0,1526,0
7,90001653980,39.0,2,6,3,1,197,0,126000.0,126,0
7,210001647190,40.0,4,6,3,2,397,0,57950.0,185,0
6,130001607603,73.0,2,4,3,3,999,0,50000.0,165,0
7,200001604204,29.0,4,8,1,2,931,0,90000.0,897,0
6,250001612113,69.0,2,8,3,1,111,0,2552087.98,5976,0
7,120001652317,60.0,2,8,3,1,277,1,1715322.36,27969,1
7,230001611089,58.0,4,8,1,3,257,0,184000.0,892,0
7,130001603701,65.0,4,7,1,1,923,0,194300.0,468,0
6,60001723390,39.0,2,8,3,3,131,0,209000.0,1495,0
6,160001716360,62.0,2,7,9,1,257,0,995000.0,126,0
6,140001611647,40.0,2,8,3,3,257,0,263000.0,3110,0
6,130001596021,29.0,2,8,1,4,258,0,930194.01,89404,1
7,50001609450,49.0,2,7,1,2,233,0,18000.0,11813,0
7,250001610196,35.0,2,8,1,3,233,0,254532.51,46386,0
7,240001610834,42.0,2,6,3,2,257,0,450000.0,446,0
6,130001610984,48.0,4,8,1,3,298,0,9050000.0,521,0
7,210001596146,41.0,4,8,1,1,125,0,101684.45,866,0
7,190001615295,45.0,2,8,1,1,131,0,110000.0,801,0
7,240001616179,42.0,2,8,3,1,999,0,380458.59,1458,0
7,120001652321,60.0,4,8,5,2,142,0,749500.0,3489,0
7,160001723071,66.0,2,6,3,3,999,0,33685.26,549,0
7,240001679665,36.0,2,8,3,1,132,0,176385.0,7495,0
