ELEITO,SQ_CANDIDATO,CD_CARGO,NR_IDADE_DATA_POSSE,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_COR_RACA,CD_OCUPACAO,CD_REELEICAO,VR_BEM_CANDIDATO,QT_VOTOS_NOMINAIS
0,210001596986,6,450,4,8,1,1,265,0,1990000,1064
0,210001620062,6,630,2,6,1,1,169,0,32333075,1269
0,210001620186,7,470,2,8,3,1,131,0,47646146,11194
0,90001712199,7,600,2,7,3,1,257,0,12174939,4891
0,140001601525,7,360,4,8,1,1,101,0,355000,477
0,190001714808,6,750,2,8,5,1,131,0,23540186,837
0,190001619217,6,560,4,8,3,2,131,0,2450000,1061
0,250001619339,7,400,4,8,3,2,235,0,2200000,4652
0,230001605896,7,600,2,6,3,3,541,0,4000000,11
0,130001634286,7,450,2,7,1,3,257,0,25000000,26
0,250001597686,6,520,2,8,1,1,131,0,21300000,636
0,250001602041,6,430,2,8,3,1,125,0,824457656,23224
0,200001598490,7,430,2,6,3,1,257,0,3000000,1026
0,210001614004,6,300,4,6,9,1,581,0,19000,638
0,190001603242,7,500,2,8,3,1,115,0,2144176,1124
0,240001643355,7,540,2,8,3,1,125,0,3350000,728
0,60001613150,7,520,4,6,3,3,169,0,650000,621
0,160001621931,6,520,2,7,3,1,298,0,6410000,2665
1,210001620198,7,620,2,8,3,1,266,0,2195759822,48409
0,40001609172,6,490,2,8,3,3,277,1,9859500,74387
0,210001649795,7,300,2,8,1,1,257,0,170000,4995
0,250001717124,6,420,2,8,3,2,144,0,1219115,4995
0,160001597839,6,310,4,8,1,1,126,0,9708059,911
0,240001647222,7,330,2,7,3,1,257,0,4395000,428
0,240001647226,7,460,2,8,9,1,142,0,1050000,132
0,190001606326,7,620,2,6,3,3,923,0,20682826,3179
0,210001621296,7,480,2,8,3,1,278,0,5012634,2633
0,140001676116,7,670,4,8,9,3,257,0,13000000,111
0,60001635792,7,500,2,8,1,3,297,0,190000,2890
0,190001645406,6,680,2,6,3,2,999,0,2630000,2890
0,140001621061,7,590,2,6,9,2,601,0,2000000,2890
0,190001638620,6,410,4,7,9,1,162,0,100000,4997
