CD_CARGO,DS_CARGO_x,SQ_CANDIDATO,NR_IDADE_DATA_POSSE_x,CD_GENERO,DS_GENERO_x,CD_GRAU_INSTRUCAO,DS_GRAU_INSTRUCAO_x,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL_x,CD_COR_RACA,DS_COR_RACA_x,CD_OCUPACAO,DS_OCUPACAO_x,ST_REELEICAO_x,VR_BEM_CANDIDATO_x,QT_VOTOS_NOMINAIS_x,NM_URNA_CANDIDATO,DS_SIT_TOT_TURNO
6,DEPUTADO FEDERAL,210001596986,45.0,4,FEMININO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),1,BRANCA,265,PROFESSOR DE ENSINO FUNDAMENTAL,N,199000.0,1064,MALU LOOSE,SUPLENTE
6,DEPUTADO FEDERAL,210001620062,63.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,1,SOLTEIRO(A),1,BRANCA,169,COMERCIANTE,N,323330.75,1269,PEDRO MACARI,SUPLENTE
7,DEPUTADO ESTADUAL,210001620186,47.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,131,ADVOGADO,N,476461.46,11194,ROGERIO GOMES,SUPLENTE
7,DEPUTADO ESTADUAL,90001712199,60.0,2,MASCULINO,7,SUPERIOR INCOMPLETO,3,CASADO(A),1,BRANCA,257,EMPRESARIO,N,1217493.9,4891,OZAIR JOSE,SUPLENTE
7,DEPUTADO ESTADUAL,140001601525,36.0,4,FEMININO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),1,BRANCA,101,ENGENHEIRO,N,35500.0,477,KAROL RESENDE,SUPLENTE
6,DEPUTADO FEDERAL,190001714808,75.0,2,MASCULINO,8,SUPERIOR COMPLETO,5,VIUVO(A),1,BRANCA,131,ADVOGADO,N,235401.86,837,REINALDO DE ALMEIDA,NAO ELEITO
6,DEPUTADO FEDERAL,190001619217,56.0,4,FEMININO,8,SUPERIOR COMPLETO,3,CASADO(A),2,PRETA,131,ADVOGADO,N,245000.0,1061,MARGOTH CARDOSO,SUPLENTE
7,DEPUTADO ESTADUAL,250001619339,40.0,4,FEMININO,8,SUPERIOR COMPLETO,3,CASADO(A),2,PRETA,235,PROFESSOR E INSTRUTOR DE FORMACAO PROFISSIONAL,N,220000.0,4652,PROFESSORA ÉRIKA CÂNDIDO,SUPLENTE
7,DEPUTADO ESTADUAL,230001605896,60.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,3,CASADO(A),3,PARDA,541,MECANICO DE MANUTENCAO,N,400000.0,11,JOÃO MONTEIRO,SUPLENTE
7,DEPUTADO ESTADUAL,130001634286,45.0,2,MASCULINO,7,SUPERIOR INCOMPLETO,1,SOLTEIRO(A),3,PARDA,257,EMPRESARIO,N,2500000.0,26,KFURI VENDA NOVA,NAO ELEITO
6,DEPUTADO FEDERAL,250001597686,52.0,2,MASCULINO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),1,BRANCA,131,ADVOGADO,N,2130000.0,636,SIDNEY ELIAS,SUPLENTE
6,DEPUTADO FEDERAL,250001602041,43.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,125,ADMINISTRADOR,N,8244576.56,23224,JUNIOR OROSCO,SUPLENTE
7,DEPUTADO ESTADUAL,200001598490,43.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,3,CASADO(A),1,BRANCA,257,EMPRESARIO,N,300000.0,1026,MAURICIO VEICULOS,NAO ELEITO
6,DEPUTADO FEDERAL,210001614004,30.0,4,FEMININO,6,ENSINO MEDIO COMPLETO,9,DIVORCIADO(A),1,BRANCA,581,DONA DE CASA,N,1900.0,638,NATALI MACHADO,SUPLENTE
